Epoch,Holiday name,Holiday type
1451606400,New Year's Day,Restricted Holiday
1452729600,Makar Sankranti,Restricted Holiday
1452816000,Pongal,Restricted Holiday
1452902400,Guru Govind Singh Jayanti,Restricted Holiday
1453766400,Republic Day,Gazetted Holiday
1454889600,Chinese New Year,Observance
1455235200,Vasant Panchami,Restricted Holiday
1455408000,Valentine's Day,Observance
1455840000,Shivaji Jayanti,Restricted Holiday
1456099200,Guru Ravidas Jayanti,Restricted Holiday
1457049600,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
1457308800,Maha Shivaratri/Shivaratri,Gazetted Holiday
1458432000,March equinox,Season
1458691200,Holika Dahana,Restricted Holiday
1458777600,Maundy Thursday,"Observance, Christian"
1458777600,Dolyatra,Restricted Holiday
1458864000,Good Friday,Gazetted Holiday
1459036800,Easter Day,Restricted Holiday
1460073600,Chaitra Sukhladi,Restricted Holiday
1460505600,Vaisakhi,Restricted Holiday
1460592000,Mesadi/Vaisakhadi,Restricted Holiday
1460592000,Ambedkar Jayanti,Observance
1460678400,Rama Navami,Gazetted Holiday
1461110400,Mahavir Jayanti,Gazetted Holiday
1461196800,Hazarat Ali's Birthday,Restricted Holiday
1461369600,First day of Passover,Observance
1462060800,May Day,Observance
1462665600,Mother's Day,Observance
1462665600,Birthday of Ravindranath,Restricted Holiday
1463788800,Buddha Purnima/Vesak,Gazetted Holiday
1466294400,Father's Day,Observance
1466380800,June Solstice,Season
1467331200,Jamat Ul-Vida,Restricted Holiday
1467763200,Rath Yatra,Restricted Holiday
1467936000,Ramzan Id/Eid-ul-Fitar,"Muslim, Common Local holidays"
1470528000,Friendship Day,Observance
1471219200,Independence Day,Gazetted Holiday
1471219200,Thanksgiving Day,Observance
1471392000,Parsi New Year,Restricted Holiday
1471478400,Raksha Bandhan (Rakhi),Restricted Holiday
1472083200,Janmashtami,Gazetted Holiday
1473033600,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
1473638400,Bakr Id/Eid ul-Adha,Gazetted Holiday
1473811200,Onam,Restricted Holiday
1474502400,September equinox,Season
1475366400,Mahatma Gandhi Jayanti,Gazetted Holiday
1476144000,Dussehra (Maha Navami),Gazetted Holiday
1476230400,Muharram/Ashura,Gazetted Holiday
1476576000,Maharishi Valmiki Jayanti,Restricted Holiday
1476835200,Karaka Chaturthi (Karva Chauth),Restricted Holiday
1477699200,Naraka Chaturdasi,Restricted Holiday
1477785600,Diwali/Deepavali,Gazetted Holiday
1477872000,Halloween,Observance
1477872000,Govardhan Puja,Restricted Holiday
1477958400,Bhai Duj,Restricted Holiday
1478390400,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
1479945600,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
1481587200,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
1482278400,December Solstice,Season
1482537600,Christmas Eve,Restricted Holiday
1482624000,First Day of Hanukkah,Observance
1482624000,Christmas,Gazetted Holiday
1483142400,New Year's Eve,"Observance, Christian"
